"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2026";"0000";"27,2";"27,3";"27,1";"76,0";"76,0";"74,0";"22,5";"22,6";"22,3";"1012,2";"1012,2";"1011,9";"3,6";"49,0";"7,1";"";""
"01/01/2026";"0100";"27,1";"27,3";"27,1";"76,0";"76,0";"76,0";"22,6";"22,6";"22,5";"1012,3";"1012,4";"1012,2";"3,8";"54,0";"9,1";"";""
"01/01/2026";"0200";"26,9";"27,1";"26,9";"77,0";"77,0";"76,0";"22,6";"22,7";"22,4";"1012,1";"1012,3";"1012,0";"3,1";"64,0";"6,9";"";""
"01/01/2026";"0300";"27,1";"27,1";"26,9";"77,0";"77,0";"77,0";"22,7";"22,7";"22,5";"1011,7";"1012,1";"1011,6";"2,8";"58,0";"6,8";"";""
"01/01/2026";"0400";"27,0";"27,1";"27,0";"77,0";"77,0";"77,0";"22,5";"22,7";"22,5";"1010,8";"1011,7";"1010,8";"3,2";"67,0";"7,1";"";""
"01/01/2026";"0500";"26,6";"27,0";"26,6";"77,0";"77,0";"76,0";"22,3";"22,6";"22,2";"1010,2";"1010,8";"1010,2";"2,4";"69,0";"6,5";"";""
"01/01/2026";"0600";"26,2";"26,7";"26,2";"78,0";"78,0";"77,0";"22,2";"22,4";"22,1";"1009,6";"1010,2";"1009,6";"1,6";"101,0";"6,9";"";""
"01/01/2026";"0700";"25,6";"26,2";"25,6";"80,0";"80,0";"78,0";"21,8";"22,1";"21,8";"1009,7";"1009,7";"1009,5";"1,3";"112,0";"3,3";"";""
"01/01/2026";"0800";"24,8";"25,6";"24,8";"81,0";"81,0";"80,0";"21,4";"21,8";"21,4";"1010,0";"1010,0";"1009,7";"0,8";"122,0";"2,6";"";""
"01/01/2026";"0900";"25,2";"25,2";"24,7";"83,0";"83,0";"81,0";"22,0";"22,0";"21,4";"1010,3";"1010,3";"1010,0";"0,8";"136,0";"2,1";"57,00";""
